Date,Close
10/19/2017,123.07
10/20/2017,123.71
10/23/2017,122.77
10/24/2017,123.88
10/25/2017,122.34
10/26/2017,123.85
10/27/2017,124.23
10/30/2017,124.39
10/31/2017,124
11/1/2017,124.43
11/2/2017,125.31
11/3/2017,125.62
11/6/2017,125.63
11/7/2017,127.46
11/8/2017,127.98
11/9/2017,125.46
11/10/2017,124.49
11/13/2017,125.67
11/14/2017,124.87
11/15/2017,123.66
11/16/2017,124.37
11/17/2017,123.29
11/20/2017,124.29
11/21/2017,125.78
11/22/2017,126.08
11/24/2017,126.05
11/27/2017,125.98
11/28/2017,126.96
11/29/2017,126.55
11/30/2017,126.34
12/1/2017,124.36
12/4/2017,123.92
12/5/2017,123.68
12/6/2017,122.97
12/7/2017,123.39
12/8/2017,124.45
12/11/2017,123.93
12/12/2017,124.25
12/13/2017,124.92
12/14/2017,125
12/15/2017,124.34
12/18/2017,127.32
12/19/2017,127.01
12/20/2017,127.63
12/21/2017,128.28
12/22/2017,128.32
12/26/2017,127.98
12/27/2017,128.23
12/28/2017,128.27
12/29/2017,127.17
1/2/2018,128.37
1/3/2018,130.13
1/4/2018,132.16
1/5/2018,133.86
1/8/2018,134.77
1/9/2018,133.72
1/10/2018,136.4
1/11/2018,136.91
1/12/2018,137.2
1/16/2018,137.97
1/17/2018,140.72
1/18/2018,138.63
1/19/2018,139.85
1/22/2018,139.4
1/23/2018,139.28
1/24/2018,139.03
1/25/2018,138.18
1/26/2018,139.56
1/29/2018,139.53
1/30/2018,139.62
1/31/2018,137.92
2/1/2018,138.8
2/2/2018,136.62
2/5/2018,131.93
2/6/2018,138.76
2/7/2018,136.88
2/8/2018,134.43
2/9/2018,136.57
2/12/2018,138.76
2/13/2018,135.04
2/14/2018,135.47
2/15/2018,135.28
2/16/2018,136.2
2/20/2018,135.85
2/21/2018,134.8
2/22/2018,135.23
2/23/2018,137.03
2/26/2018,138.43
2/27/2018,136.03
2/28/2018,134.6
3/1/2018,130.39
3/2/2018,130.59
3/5/2018,130.98
3/6/2018,131.34
3/7/2018,129.82
3/8/2018,129.56
3/9/2018,129.7
3/12/2018,130.34
3/13/2018,130
3/14/2018,130
